,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
125,192.168.159.238,146.75.52.81,6,TCP,54,126,2024-03-27 02:43:31.940711,1711503811.940711000,,,,,,,,,,35708,443,0x0010,748,42377,
126,192.168.159.238,146.75.52.81,6,TCP,54,127,2024-03-27 02:43:31.940799,1711503811.940798900,,,,,,,,,,35708,443,0x0010,748,47737,
127,146.75.52.81,192.168.159.238,6,TLS,1394,128,2024-03-27 02:43:31.943205,1711503811.943205000,,,,,,,,,,443,35708,0x0018,47737,748,TLS_Packet_Captured
128,146.75.52.81,192.168.159.238,6,TLS,1394,129,2024-03-27 02:43:31.943205,1711503811.943205100,,,,,,,,,,443,35708,0x0010,49077,748,TLS_Packet_Captured
129,192.168.159.238,146.75.52.81,6,TCP,54,130,2024-03-27 02:43:31.943234,1711503811.943234200,,,,,,,,,,35708,443,0x0010,748,50417,
130,146.75.52.81,192.168.159.238,6,TLS,2734,131,2024-03-27 02:43:31.943482,1711503811.943482100,,,,,,,,,,443,35708,0x0018,50417,748,TLS_Packet_Captured
131,192.168.159.238,146.75.52.81,6,TCP,54,132,2024-03-27 02:43:31.943488,1711503811.943488200,,,,,,,,,,35708,443,0x0010,748,53097,
132,146.75.52.81,192.168.159.238,6,TLS,1394,133,2024-03-27 02:43:31.946777,1711503811.946777400,,,,,,,,,,443,35708,0x0010,53097,748,TLS_Packet_Captured
133,146.75.52.81,192.168.159.238,6,TLS,2734,134,2024-03-27 02:43:31.950509,1711503811.950509300,,,,,,,,,,443,35708,0x0018,54437,748,TLS_Packet_Captured
134,192.168.159.238,146.75.52.81,6,TCP,54,135,2024-03-27 02:43:31.950530,1711503811.950529500,,,,,,,,,,35708,443,0x0010,748,57117,
135,146.75.52.81,192.168.159.238,6,TLS,4074,136,2024-03-27 02:43:31.950989,1711503811.950989300,,,,,,,,,,443,35708,0x0018,57117,748,TLS_Packet_Captured
136,146.75.52.81,192.168.159.238,6,TLS,2734,137,2024-03-27 02:43:31.950989,1711503811.950989300,,,,,,,,,,443,35708,0x0010,61137,748,TLS_Packet_Captured
137,192.168.159.238,146.75.52.81,6,TCP,54,138,2024-03-27 02:43:31.951068,1711503811.951068100,,,,,,,,,,35708,443,0x0010,748,63817,
138,146.75.52.81,192.168.159.238,6,TLS,1394,139,2024-03-27 02:43:31.951286,1711503811.951285600,,,,,,,,,,443,35708,0x0018,63817,748,TLS_Packet_Captured
139,146.75.52.81,192.168.159.238,6,TLS,2734,140,2024-03-27 02:43:31.951286,1711503811.951285700,,,,,,,,,,443,35708,0x0010,65157,748,TLS_Packet_Captured
140,192.168.159.238,146.75.52.81,6,TCP,54,141,2024-03-27 02:43:31.951490,1711503811.951490000,,,,,,,,,,35708,443,0x0010,748,67837,
141,146.75.52.81,192.168.159.238,6,TCP,1394,142,2024-03-27 02:43:31.956633,1711503811.956633000,,,,,,,,,,443,35708,0x0018,67837,748,
142,146.75.52.81,192.168.159.238,6,TLS,373,143,2024-03-27 02:43:31.956633,1711503811.956633100,,,,,,,,,,443,35708,0x0018,69177,748,TLS_Packet_Captured
143,192.168.159.238,146.75.52.81,6,TCP,54,144,2024-03-27 02:43:31.956647,1711503811.956646800,,,,,,,,,,35708,443,0x0010,748,69177,
144,192.168.159.238,146.75.52.81,6,TCP,54,145,2024-03-27 02:43:31.956675,1711503811.956674600,,,,,,,,,,35708,443,0x0010,748,69496,
145,192.168.159.238,146.75.52.81,6,TCP,54,146,2024-03-27 02:43:31.957265,1711503811.957264600,,,,,,,,,,35706,443,0x0011,748,69518,
146,192.168.159.238,192.168.144.1,17,DNS,73,147,2024-03-27 02:43:31.958908,1711503811.958907700,56720,53,www.bbc.co.uk,,1,0x0001,1,0,0,,,,,,
147,192.168.159.238,192.168.144.1,17,DNS,73,148,2024-03-27 02:43:31.958930,1711503811.958929600,56720,53,www.bbc.co.uk,,28,0x0001,1,0,0,,,,,,
148,192.168.144.1,192.168.159.238,17,DNS,220,149,2024-03-27 02:43:31.959713,1711503811.959713200,53,56720,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,,,,,,
149,192.168.144.1,192.168.159.238,17,DNS,186,150,2024-03-27 02:43:31.959966,1711503811.959966300,53,56720,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,0,,,,,,
