,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
87,146.75.53.164,192.168.159.238,6,TCP,7902,88,2024-03-27 02:47:31.694593,1711504051.694592600,,,,,,,,,,443,60366,0x0018,109602,786,
88,192.168.159.238,146.75.53.164,6,TCP,54,89,2024-03-27 02:47:31.694605,1711504051.694605200,,,,,,,,,,60366,443,0x0010,786,109410,
89,192.168.159.238,146.75.53.164,6,TCP,54,90,2024-03-27 02:47:31.694629,1711504051.694628600,,,,,,,,,,60366,443,0x0010,786,109602,
90,192.168.159.238,146.75.53.164,6,TCP,54,91,2024-03-27 02:47:31.694631,1711504051.694631000,,,,,,,,,,60366,443,0x0010,786,117450,
91,146.75.53.164,192.168.159.238,6,TCP,1394,92,2024-03-27 02:47:31.694633,1711504051.694633000,,,,,,,,,,443,60366,0x0010,117450,786,
92,192.168.159.238,146.75.53.164,6,TCP,54,93,2024-03-27 02:47:31.694635,1711504051.694634600,,,,,,,,,,60366,443,0x0010,786,118790,
93,146.75.53.164,192.168.159.238,6,TLS,4074,94,2024-03-27 02:47:31.694841,1711504051.694840600,,,,,,,,,,443,60366,0x0010,118790,786,TLS_Packet_Captured
94,192.168.159.238,146.75.53.164,6,TCP,54,95,2024-03-27 02:47:31.694846,1711504051.694846200,,,,,,,,,,60366,443,0x0010,786,122810,
95,146.75.53.164,192.168.159.238,6,TCP,2222,96,2024-03-27 02:47:31.698211,1711504051.698211300,,,,,,,,,,443,60366,0x0018,122810,786,
96,146.75.53.164,192.168.159.238,6,TCP,1394,97,2024-03-27 02:47:31.698211,1711504051.698211500,,,,,,,,,,443,60366,0x0010,124978,786,
97,192.168.159.238,146.75.53.164,6,TCP,54,98,2024-03-27 02:47:31.698230,1711504051.698230200,,,,,,,,,,60366,443,0x0010,786,124978,
98,192.168.159.238,146.75.53.164,6,TCP,54,99,2024-03-27 02:47:31.698262,1711504051.698262300,,,,,,,,,,60366,443,0x0010,786,126318,
99,146.75.53.164,192.168.159.238,6,TCP,2734,100,2024-03-27 02:47:31.709393,1711504051.709393100,,,,,,,,,,443,60366,0x0010,126318,786,
100,192.168.159.238,146.75.53.164,6,TCP,54,101,2024-03-27 02:47:31.709410,1711504051.709410100,,,,,,,,,,60366,443,0x0010,786,128998,
101,146.75.53.164,192.168.159.238,6,TCP,2266,102,2024-03-27 02:47:31.709774,1711504051.709773600,,,,,,,,,,443,60366,0x0018,128998,786,
102,146.75.53.164,192.168.159.238,6,TLS,9266,103,2024-03-27 02:47:31.709774,1711504051.709773700,,,,,,,,,,443,60366,0x0018,131210,786,TLS_Packet_Captured
103,192.168.159.238,146.75.53.164,6,TCP,54,104,2024-03-27 02:47:31.709787,1711504051.709787000,,,,,,,,,,60366,443,0x0010,786,131210,
104,192.168.159.238,146.75.53.164,6,TCP,54,105,2024-03-27 02:47:31.709814,1711504051.709813500,,,,,,,,,,60366,443,0x0010,786,140422,
105,146.75.53.164,192.168.159.238,6,TCP,6754,106,2024-03-27 02:47:31.710251,1711504051.710251400,,,,,,,,,,443,60366,0x0010,140422,786,
106,192.168.159.238,146.75.53.164,6,TCP,54,107,2024-03-27 02:47:31.710266,1711504051.710266100,,,,,,,,,,60366,443,0x0010,786,147122,
107,146.75.53.164,192.168.159.238,6,TCP,2734,108,2024-03-27 02:47:31.713848,1711504051.713848000,,,,,,,,,,443,60366,0x0010,147122,786,
108,146.75.53.164,192.168.159.238,6,TCP,238,109,2024-03-27 02:47:31.713848,1711504051.713848200,,,,,,,,,,443,60366,0x0018,151142,786,
109,192.168.159.238,146.75.53.164,6,TCP,54,110,2024-03-27 02:47:31.713866,1711504051.713865500,,,,,,,,,,60366,443,0x0010,786,149802,
110,192.168.159.238,146.75.53.164,6,TCP,66,111,2024-03-27 02:47:31.713898,1711504051.713898100,,,,,,,,,,60366,443,0x0010,786,149802,
111,146.75.53.164,192.168.159.238,6,TCP,1394,112,2024-03-27 02:47:31.715398,1711504051.715398200,,,,,,,,,,443,60366,0x0010,149802,786,
112,146.75.53.164,192.168.159.238,6,TLS,7902,113,2024-03-27 02:47:31.715399,1711504051.715398500,,,,,,,,,,443,60366,0x0018,151326,786,TLS_Packet_Captured
113,146.75.53.164,192.168.159.238,6,TCP,5414,114,2024-03-27 02:47:31.715399,1711504051.715398600,,,,,,,,,,443,60366,0x0018,159174,786,
114,192.168.159.238,146.75.53.164,6,TCP,54,115,2024-03-27 02:47:31.715446,1711504051.715445900,,,,,,,,,,60366,443,0x0010,786,151326,
115,192.168.159.238,146.75.53.164,6,TCP,54,116,2024-03-27 02:47:31.715451,1711504051.715451500,,,,,,,,,,60366,443,0x0010,786,159174,
116,192.168.159.238,146.75.53.164,6,TCP,54,117,2024-03-27 02:47:31.715453,1711504051.715453200,,,,,,,,,,60366,443,0x0010,786,164534,
117,146.75.53.164,192.168.159.238,6,TCP,1394,118,2024-03-27 02:47:31.715455,1711504051.715455400,,,,,,,,,,443,60366,0x0010,164534,786,
118,192.168.159.238,146.75.53.164,6,TCP,54,119,2024-03-27 02:47:31.715457,1711504051.715457200,,,,,,,,,,60366,443,0x0010,786,165874,
119,146.75.53.164,192.168.159.238,6,TLS,4074,120,2024-03-27 02:47:31.717934,1711504051.717934000,,,,,,,,,,443,60366,0x0010,165874,786,TLS_Packet_Captured
120,146.75.53.164,192.168.159.238,6,TCP,62,121,2024-03-27 02:47:31.717934,1711504051.717934200,,,,,,,,,,443,60366,0x0018,171234,786,
121,146.75.53.164,192.168.159.238,6,TCP,1394,122,2024-03-27 02:47:31.717934,1711504051.717934200,,,,,,,,,,443,60366,0x0010,169894,786,
122,192.168.159.238,146.75.53.164,6,TCP,54,123,2024-03-27 02:47:31.717952,1711504051.717951700,,,,,,,,,,60366,443,0x0010,786,169894,
123,192.168.159.238,146.75.53.164,6,TCP,66,124,2024-03-27 02:47:31.717983,1711504051.717982800,,,,,,,,,,60366,443,0x0010,786,169894,
124,192.168.159.238,146.75.53.164,6,TCP,54,125,2024-03-27 02:47:31.717986,1711504051.717986300,,,,,,,,,,60366,443,0x0010,786,171242,
125,146.75.53.164,192.168.159.238,6,TCP,238,126,2024-03-27 02:47:31.718492,1711504051.718491900,,,,,,,,,,443,60366,0x0018,172582,786,
126,146.75.53.164,192.168.159.238,6,TCP,1394,127,2024-03-27 02:47:31.718492,1711504051.718492000,,,,,,,,,,443,60366,0x0010,171242,786,
127,146.75.53.164,192.168.159.238,6,TCP,8094,128,2024-03-27 02:47:31.718492,1711504051.718492000,,,,,,,,,,443,60366,0x0010,172766,786,
