,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
121,23.51.246.151,172.20.146.77,6,TCP,2734,122,2024-03-28 01:34:34.366110,1711586074.366110000,443,38640,0x0010,142236,822,,,,,,,,,,
122,172.20.146.77,23.51.246.151,6,TCP,54,123,2024-03-28 01:34:34.366124,1711586074.366123600,38640,443,0x0010,822,138032,,,,,,,,,,
123,172.20.146.77,23.51.246.151,6,TCP,54,124,2024-03-28 01:34:34.366127,1711586074.366127300,38640,443,0x0010,822,140712,,,,,,,,,,
124,172.20.146.77,23.51.246.151,6,TCP,66,125,2024-03-28 01:34:34.366130,1711586074.366129700,38640,443,0x0010,822,140712,,,,,,,,,,
125,172.20.146.77,23.51.246.151,6,TCP,54,126,2024-03-28 01:34:34.366132,1711586074.366131600,38640,443,0x0010,822,142236,,,,,,,,,,
126,172.20.146.77,23.51.246.151,6,TCP,54,127,2024-03-28 01:34:34.366133,1711586074.366132900,38640,443,0x0010,822,144916,,,,,,,,,,
127,23.51.246.151,172.20.146.77,6,TCP,2734,128,2024-03-28 01:34:34.366775,1711586074.366774500,443,38640,0x0018,144916,822,,,,,,,,,,
128,23.51.246.151,172.20.146.77,6,TCP,2550,129,2024-03-28 01:34:34.366775,1711586074.366774700,443,38640,0x0018,147596,822,,,,,,,,,,
129,23.51.246.151,172.20.146.77,6,TCP,2014,130,2024-03-28 01:34:34.366775,1711586074.366774700,443,38640,0x0018,150092,822,,,,,,,,,,
130,23.51.246.151,172.20.146.77,6,TLS,2734,131,2024-03-28 01:34:34.366775,1711586074.366774800,443,38640,0x0010,152052,822,TLS_Packet_Captured,,,,,,,,,
131,172.20.146.77,23.51.246.151,6,TCP,54,132,2024-03-28 01:34:34.366787,1711586074.366787200,38640,443,0x0010,822,147596,,,,,,,,,,
132,172.20.146.77,23.51.246.151,6,TCP,54,133,2024-03-28 01:34:34.366793,1711586074.366793500,38640,443,0x0010,822,150092,,,,,,,,,,
133,172.20.146.77,23.51.246.151,6,TCP,54,134,2024-03-28 01:34:34.366795,1711586074.366795000,38640,443,0x0010,822,152052,,,,,,,,,,
134,172.20.146.77,23.51.246.151,6,TCP,54,135,2024-03-28 01:34:34.366796,1711586074.366796400,38640,443,0x0010,822,154732,,,,,,,,,,
135,23.51.246.151,172.20.146.77,6,TCP,1394,136,2024-03-28 01:34:34.366889,1711586074.366889100,443,38640,0x0010,154732,822,,,,,,,,,,
136,172.20.146.77,23.51.246.151,6,TCP,54,137,2024-03-28 01:34:34.366892,1711586074.366892400,38640,443,0x0010,822,156072,,,,,,,,,,
137,23.51.246.151,172.20.146.77,6,TCP,1394,138,2024-03-28 01:34:34.368289,1711586074.368288800,443,38640,0x0018,156072,822,,,,,,,,,,
138,23.51.246.151,172.20.146.77,6,TCP,6754,139,2024-03-28 01:34:34.368289,1711586074.368288900,443,38640,0x0018,157412,822,,,,,,,,,,
139,172.20.146.77,23.51.246.151,6,TCP,54,140,2024-03-28 01:34:34.368298,1711586074.368298000,38640,443,0x0010,822,157412,,,,,,,,,,
140,172.20.146.77,23.51.246.151,6,TCP,54,141,2024-03-28 01:34:34.368302,1711586074.368302200,38640,443,0x0010,822,164112,,,,,,,,,,
141,23.51.246.151,172.20.146.77,6,TCP,4074,142,2024-03-28 01:34:34.368835,1711586074.368835300,443,38640,0x0010,164112,822,,,,,,,,,,
142,23.51.246.151,172.20.146.77,6,TLS,70,143,2024-03-28 01:34:34.368835,1711586074.368835400,443,38640,0x0018,169472,822,TLS_Packet_Captured,,,,,,,,,
143,23.51.246.151,172.20.146.77,6,DATA,1394,144,2024-03-28 01:34:34.368835,1711586074.368835400,443,38640,0x0010,168132,822,,,,,,,,,,
144,23.51.246.151,172.20.146.77,6,TLS,2734,145,2024-03-28 01:34:34.368835,1711586074.368835400,443,38640,0x0010,169488,822,TLS_Packet_Captured,,,,,,,,,
145,172.20.146.77,23.51.246.151,6,TCP,54,146,2024-03-28 01:34:34.368846,1711586074.368845600,38640,443,0x0010,822,168132,,,,,,,,,,
146,172.20.146.77,23.51.246.151,6,TCP,66,147,2024-03-28 01:34:34.368851,1711586074.368851400,38640,443,0x0010,822,168132,,,,,,,,,,
147,172.20.146.77,23.51.246.151,6,TCP,54,148,2024-03-28 01:34:34.368853,1711586074.368853400,38640,443,0x0010,822,169488,,,,,,,,,,
148,172.20.146.77,23.51.246.151,6,TCP,54,149,2024-03-28 01:34:34.368855,1711586074.368854800,38640,443,0x0010,822,172168,,,,,,,,,,
149,23.51.246.151,172.20.146.77,6,TLS,1838,150,2024-03-28 01:34:34.377680,1711586074.377679700,443,38640,0x0018,172168,822,TLS_Packet_Captured,,,,,,,,,
150,23.51.246.151,172.20.146.77,6,TLS,1394,151,2024-03-28 01:34:34.377680,1711586074.377679900,443,38640,0x0010,173952,822,TLS_Packet_Captured,,,,,,,,,
151,172.20.146.77,23.51.246.151,6,TCP,54,152,2024-03-28 01:34:34.377698,1711586074.377697700,38640,443,0x0010,822,173952,,,,,,,,,,
152,172.20.146.77,23.51.246.151,6,TCP,54,153,2024-03-28 01:34:34.377707,1711586074.377706900,38640,443,0x0010,822,175292,,,,,,,,,,
153,23.51.246.151,172.20.146.77,6,TLS,5414,154,2024-03-28 01:34:34.378457,1711586074.378457300,443,38640,0x0018,175292,822,TLS_Packet_Captured,,,,,,,,,
154,23.51.246.151,172.20.146.77,6,TLS,314,155,2024-03-28 01:34:34.378457,1711586074.378457400,443,38640,0x0010,180652,822,TLS_Packet_Captured,,,,,,,,,
155,23.51.246.151,172.20.146.77,6,TLS,6754,156,2024-03-28 01:34:34.378458,1711586074.378457500,443,38640,0x0018,180912,822,TLS_Packet_Captured,,,,,,,,,
156,172.20.146.77,23.51.246.151,6,TCP,54,157,2024-03-28 01:34:34.378472,1711586074.378472200,38640,443,0x0010,822,180652,,,,,,,,,,
157,172.20.146.77,23.51.246.151,6,TCP,54,158,2024-03-28 01:34:34.378478,1711586074.378478100,38640,443,0x0010,822,180912,,,,,,,,,,
158,172.20.146.77,23.51.246.151,6,TCP,54,159,2024-03-28 01:34:34.378480,1711586074.378479900,38640,443,0x0010,822,187612,,,,,,,,,,
159,23.51.246.151,172.20.146.77,6,TLS,4074,160,2024-03-28 01:34:34.378697,1711586074.378696900,443,38640,0x0010,187612,822,TLS_Packet_Captured,,,,,,,,,
160,172.20.146.77,23.51.246.151,6,TCP,54,161,2024-03-28 01:34:34.378701,1711586074.378701500,38640,443,0x0010,822,191632,,,,,,,,,,
161,23.51.246.151,172.20.146.77,6,TLS,2474,162,2024-03-28 01:34:34.380958,1711586074.380958300,443,38640,0x0018,191632,822,TLS_Packet_Captured,,,,,,,,,
162,172.20.146.77,23.51.246.151,6,TCP,54,163,2024-03-28 01:34:34.380977,1711586074.380976600,38640,443,0x0010,822,194052,,,,,,,,,,
163,23.51.246.151,172.20.146.77,6,TLS,5414,164,2024-03-28 01:34:34.381339,1711586074.381339100,443,38640,0x0010,194052,822,TLS_Packet_Captured,,,,,,,,,
164,172.20.146.77,23.51.246.151,6,TCP,54,165,2024-03-28 01:34:34.381350,1711586074.381349900,38640,443,0x0010,822,199412,,,,,,,,,,
165,23.51.246.151,172.20.146.77,6,TLS,2734,166,2024-03-28 01:34:34.382054,1711586074.382053800,443,38640,0x0018,199412,822,TLS_Packet_Captured,,,,,,,,,
166,23.51.246.151,172.20.146.77,6,TLS,5414,167,2024-03-28 01:34:34.382054,1711586074.382054000,443,38640,0x0010,202092,822,TLS_Packet_Captured,,,,,,,,,
